                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5314,                 1.7386,                 1.4594,                 0.8923,                0.78401,                0.87271,                0.63314,                0.97356,                0.86523,                 1.0817,              0.0033319,              0.0033319,              0.0033319
                      2,                 1.4484,                 1.2937,                  1.381,                0.89714,                0.75061,                0.85391,                0.60978,                 1.0034,                0.81877,                 1.1122,              0.0065992,              0.0065992,              0.0065992
                      3,                 1.4727,                 1.2724,                 1.4076,                0.88695,                0.76714,                0.86193,                 0.6175,                 1.0321,                0.80155,                 1.1408,              0.0098006,              0.0098006,              0.0098006
                      4,                 1.4682,                 1.2477,                 1.4121,                 0.9032,                  0.785,                0.87656,                0.64497,                0.96186,                0.73329,                 1.0926,               0.009703,               0.009703,               0.009703
                      5,                 1.4138,                 1.1619,                 1.3807,                0.92077,                0.78963,                0.88985,                0.65998,                0.93476,                0.69642,                  1.084,               0.009703,               0.009703,               0.009703
                      6,                 1.3741,                  1.103,                 1.3578,                 0.9233,                0.81049,                0.90072,                 0.6795,                0.89495,                 0.6422,                 1.0601,               0.009604,               0.009604,               0.009604
                      7,                 1.3534,                 1.0733,                 1.3387,                0.92522,                0.81726,                0.90543,                0.68919,                0.87814,                0.61603,                  1.043,               0.009505,               0.009505,               0.009505
                      8,                 1.3252,                 1.0391,                 1.3226,                0.92619,                0.82095,                0.91084,                0.69955,                0.85481,                0.59446,                  1.036,               0.009406,               0.009406,               0.009406
                      9,                 1.3075,                 1.0221,                 1.3126,                0.93078,                0.82548,                0.91368,                0.70294,                0.84903,                0.58511,                 1.0272,               0.009307,               0.009307,               0.009307
                     10,                 1.2939,                 1.0009,                 1.3052,                  0.928,                0.83613,                0.91798,                 0.7105,                0.83687,                0.56538,                 1.0218,               0.009208,               0.009208,               0.009208
                     11,                 1.2787,                0.98117,                 1.2953,                0.93747,                0.83227,                0.92068,                0.71694,                0.81768,                0.55028,                 1.0114,               0.009109,               0.009109,               0.009109
                     12,                 1.2721,                0.97747,                 1.2883,                0.93201,                0.83971,                0.92251,                0.71891,                0.81344,                0.54486,                 1.0048,                0.00901,                0.00901,                0.00901
                     13,                  1.261,                0.96244,                 1.2786,                0.93149,                 0.8428,                0.92606,                0.72299,                0.80673,                0.53629,                 1.0028,               0.008911,               0.008911,               0.008911
                     14,                 1.2538,                  0.951,                  1.276,                 0.9395,                 0.8411,                0.92675,                0.72576,                0.80366,                0.52334,                0.99966,               0.008812,               0.008812,               0.008812
                     15,                 1.2435,                 0.9413,                 1.2673,                 0.9357,                 0.8467,                0.92802,                0.72905,                0.79541,                0.51692,                0.99265,               0.008713,               0.008713,               0.008713
                     16,                  1.236,                0.93167,                 1.2632,                0.93613,                0.85071,                0.92902,                0.72969,                 0.7958,                0.51314,                0.99276,               0.008614,               0.008614,               0.008614
