                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5146,                 1.3564,                  1.474,                0.90399,                0.82054,                0.90473,                0.67545,                0.92805,                0.63629,                 1.0549,              0.0033319,              0.0033319,              0.0033319
                      2,                 1.3668,                 1.0536,                 1.3399,                 0.9258,                0.81629,                0.90035,                0.67309,                0.92915,                0.64379,                  1.065,              0.0065992,              0.0065992,              0.0065992
                      3,                 1.3955,                 1.1117,                 1.3667,                0.90099,                 0.7965,                0.88667,                0.65068,                0.96843,                0.72608,                 1.0949,              0.0098006,              0.0098006,              0.0098006
                      4,                 1.4022,                 1.1216,                 1.3785,                0.92201,                0.81829,                0.90537,                0.68308,                0.89616,                0.64799,                 1.0606,               0.009703,               0.009703,               0.009703
                      5,                 1.3503,                 1.0458,                 1.3464,                0.92655,                0.83213,                0.91434,                0.69862,                0.87704,                0.60317,                 1.0586,               0.009703,               0.009703,               0.009703
                      6,                 1.3037,                0.99019,                 1.3188,                0.92781,                 0.8439,                 0.9215,                0.70836,                0.85538,                0.57268,                 1.0332,               0.009604,               0.009604,               0.009604
                      7,                 1.2787,                 0.9603,                 1.2978,                0.93531,                0.84414,                0.92491,                 0.7208,                0.82763,                0.54582,                   1.02,               0.009505,               0.009505,               0.009505
                      8,                 1.2486,                 0.9268,                 1.2824,                0.93194,                0.84715,                0.92758,                0.72624,                0.81081,                0.53764,                 1.0167,               0.009406,               0.009406,               0.009406
                      9,                 1.2313,                0.91206,                 1.2669,                0.94299,                0.84939,                0.93288,                 0.7329,                0.79922,                0.52035,                 1.0048,               0.009307,               0.009307,               0.009307
                     10,                 1.2167,                0.88854,                 1.2617,                0.93999,                0.85987,                 0.9367,                0.73743,                0.79433,                0.50107,                 1.0037,               0.009208,               0.009208,               0.009208
                     11,                 1.2026,                0.87514,                 1.2519,                0.93117,                0.87022,                0.93798,                0.74225,                0.78166,                0.49268,                 0.9923,               0.009109,               0.009109,               0.009109
                     12,                 1.1959,                 0.8687,                 1.2485,                0.93958,                0.86968,                0.94141,                0.74691,                0.77042,                0.48111,                0.99013,                0.00901,                0.00901,                0.00901
